iteration,subject_name,selected_topic_id,selected_topic_name,final_score,freq_score,recency_score,qtype_score,marks_score,exposure_score,diversity_score,rep_penalty,total_questions,unique_years,last_practiced,total_exposure,candidate_count,score_gap_to_runnerup
73,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",31,6,0.04
74,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",31,6,0.008
75,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",32,6,0.04
76,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",32,6,0.008
77,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",33,6,0.04
78,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",33,6,0.008
79,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",34,6,0.04
80,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",34,6,0.008
81,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",35,6,0.04
82,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",35,6,0.008
83,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",36,6,0.04
84,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",36,6,0.008
85,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",37,6,0.04
86,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",37,6,0.008
87,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",38,6,0.04
88,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",38,6,0.008
89,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",39,6,0.04
90,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",39,6,0.008
91,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",40,6,0.04
92,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",40,6,0.008
93,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",41,6,0.04
94,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",41,6,0.008
95,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",42,6,0.04
96,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",42,6,0.008
97,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",43,6,0.04
98,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",43,6,0.008
99,"Polity & Governance","POLITY-002","Judiciary, Rights & Doctrines",0.077,0.96,0.55,0.78,0.2,0.1,0.7,0.5,9,5,"2 iter ago",44,6,0.04
100,"Polity & Governance","POLITY-001","Executive (President & Governor)",0.045,1,0.4,0.7,0.2,0.1,0.7,0.5,10,7,"2 iter ago",44,6,0.008
