question_id,year,exam_name,paper,section,question_number,marks,language,original_question_text,page_number,source_pdf_name,subject_id,subject_name,subject_confidence,classification_method,classification_reason,review_required,secondary_subject,secondary_subject_confidence
BPSC-Q-000050,2023,68th BPSC Mains,GS 2,Section I,3,38,English,**Short Answer Questions:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000051,2023,68th BPSC Mains,GS 2,Section I,Sub-a,8,English,NITI Aayog's Multidimensional Poverty Index (MPI): Highlights of Bihar's performance and poverty reduction.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,,
BPSC-Q-000052,2023,68th BPSC Mains,GS 2,Section I,Sub-b,8,English,Renewable Energy Goals: Solar and wind energy potential in Bihar and PM-KUSUM scheme implementation.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,,
BPSC-Q-000053,2023,68th BPSC Mains,GS 2,Section I,Sub-c,8,English,"Urbanisation Trends in Bihar: Challenges of smart cities, urban flooding, and civic infrastructure.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-04,Geography & Disaster Management,0.92,two_pass_taxonomy_v1,"Question focuses on Geography, Natural Resources, Monsoon, or Disaster Management.",False,Indian & Bihar Economy,0.7
BPSC-Q-000054,2023,68th BPSC Mains,GS 2,Section I,Sub-d,7,English,"Food Processing Sector in Bihar: Value addition, cold storage infrastructure, and Mega Food Parks.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,,
BPSC-Q-000055,2023,68th BPSC Mains,GS 2,Section I,Sub-e,7,English,"Land Reforms in Bihar: Land ceiling, tenancy records, and land consolidation hurdles.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,,
BPSC-Q-000056,2023,68th BPSC Mains,GS 2,Section I,4,38,English,**Long Answer Question:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000057,2023,68th BPSC Mains,GS 2,Section I,Sub-a,38,English,Discuss the causes of recurring floods and droughts in Bihar. Evaluate integrated river basin management strategies and interlinking projects to mitigate disasters.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-04,Geography & Disaster Management,0.92,two_pass_taxonomy_v1,"Question focuses on Geography, Natural Resources, Monsoon, or Disaster Management.",False,Indian & Bihar Economy,0.7
BPSC-Q-000058,2023,68th BPSC Mains,GS 2,Section I,5,38,English,**Short Answer Questions:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000059,2023,68th BPSC Mains,GS 2,Section I,Sub-a,8,English,"5G Technology Rollout: Applications in telemedicine, smart agriculture, and industrial automation.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000060,2023,68th BPSC Mains,GS 2,Section I,Sub-b,8,English,Space Technology for National Development: Remote sensing in flood mapping and urban planning in Bihar.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000061,2023,68th BPSC Mains,GS 2,Section I,Sub-c,8,English,"Biotechnology in Healthcare: Recombinant DNA technology, gene editing (CRISPR), and vaccine manufacturing.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000062,2023,68th BPSC Mains,GS 2,Section I,Sub-d,7,English,E-Waste Management Rules: Environmental risks of electronic waste and circular economy solutions.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000063,2023,68th BPSC Mains,GS 2,Section I,Sub-e,7,English,"Artificial Intelligence in Public Governance: Chatbots, automated service delivery, and digital inclusion.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000064,2023,68th BPSC Mains,GS 2,Section I,6,38,English,**Long Answer Question:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000065,2023,68th BPSC Mains,GS 2,Section I,Sub-a,38,English,"""Technology-driven interventions are indispensable for transforming rural Bihar."" Examine how Space Technology, Geospatial Information Systems (GIS), and Information Technology (IT) can revolutionize agriculture, disaster warning, and health service delivery in Bihar.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000066,2023,68th BPSC Mains,Essay,Section I,1,100,English,"Forest precedes civilization, desert succeeds it.",3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000067,2023,68th BPSC Mains,Essay,Section I,2,100,English,An unexamined life is not worth living.,3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000068,2023,68th BPSC Mains,Essay,Section I,3,100,English,"Symbolism of lotus in Indian art, philosophy, and political culture.",3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000069,2023,68th BPSC Mains,Essay,Section I,1,100,English,Digital economy and its role in bridging gender gaps in India.,3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000070,2023,68th BPSC Mains,Essay,Section I,2,100,English,Sustainable agriculture: Balancing food security with ecological conservation.,3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000071,2023,68th BPSC Mains,Essay,Section I,3,100,English,Industrialisation in eastern India: Opportunities and structural constraints.,3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000072,2023,68th BPSC Mains,Essay,Section I,1,100,Bilingual,"""मूस मोटैहैं त कोठारि हइहैं, ना बल ना बुद्धि बाढैहैं"" (Superficial gains without structural capability building lead nowhere).",3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000073,2023,68th BPSC Mains,Essay,Section I,2,100,Bilingual,"""अगिला खेती आगे-आगे, पछिला खेती भागे-भागे"" (Timeliness, proactiveness, and agility in agricultural and economic planning).",3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000074,2023,68th BPSC Mains,Essay,Section I,3,100,Bilingual,"""बिनु सेवा मेवा न मिलै"" (Hard work, public service, and dedication as the sole path to enduring governance results).",3,68th mains essay  (Final) (1).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,,
BPSC-Q-000075,2024,69th BPSC Mains,GS 1,Section I,1,38,English,**Short Answer Questions (Compulsory - 38 Marks Total):**,3,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000076,2024,69th BPSC Mains,GS 1,Section I,Sub-a,8,English,**Pala Art and Architecture:** Discuss the key architectural and sculptural features of Pala Art in Bihar and its influence on Buddhist iconography.,2,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000077,2024,69th BPSC Mains,GS 1,Section I,Sub-b,8,English,**Indigo Revolt & Bihar:** Examine the role of peasants in Bihar during the Indigo Revolt and the significance of Mahatma Gandhi's Champaran Satyagraha (1917).,2,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000078,2024,69th BPSC Mains,GS 1,Section I,Sub-c,8,English,**Western Education in Bihar (1857–1947):** Trace the spread and development of Western education in Bihar and its impact on modern political consciousness.,2,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
