question_id,year,exam_name,paper,section,question_number,marks,language,original_question_text,page_number,source_pdf_name,subject_id,subject_name,subject_confidence,classification_method,classification_reason,review_required,primary_topic_id,primary_topic,topic_confidence,topic_classification_reason,topic_review_required,reason_for_exclusion
BPSC-Q-000064,2023,68th BPSC Mains,GS 2,Section I,6,38,English,**Long Answer Question:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000075,2024,69th BPSC Mains,GS 1,Section I,1,38,English,**Short Answer Questions (Compulsory - 38 Marks Total):**,3,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000081,2024,69th BPSC Mains,GS 1,Section I,2,38,English,**Long Answer Question (History & Movement):**,3,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000084,2024,69th BPSC Mains,GS 1,Section I,3,38,English,**Long Answer Question (National Movement & Thinkers):**,3,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000087,2024,69th BPSC Mains,GS 1,Section I,4,38,English,**Short Answer Questions (Current Developments):**,3,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000093,2024,69th BPSC Mains,GS 1,Section I,5,38,English,**Long Answer Question (International Relations):**,3,69th_BPSC_MAINS_GS_PAPER-I.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000096,2024,69th BPSC Mains,GS 2,Section I,1,38,English,**Short Answer Questions (Polity):**,3,69th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000102,2024,69th BPSC Mains,GS 2,Section I,2,38,English,**Long Answer Question (Polity):**,3,69th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000105,2024,69th BPSC Mains,GS 2,Section I,3,38,English,**Short Answer Questions (Economy & Geography):**,3,69th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,ECON-003,Agrarian Economy & Land Reforms,0.92,Matched Economy & Industrialization keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000111,2024,69th BPSC Mains,GS 2,Section I,4,38,English,**Long Answer Question (Economy & Geography):**,3,69th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,ECON-003,Agrarian Economy & Land Reforms,0.92,Matched Economy & Industrialization keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000113,2024,69th BPSC Mains,GS 2,Section I,5,38,English,**Short Answer Questions (Science & Tech):**,3,69th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000119,2024,69th BPSC Mains,GS 2,Section I,6,38,English,**Long Answer Question (Science & Tech):**,3,69th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000283,2026,71st BPSC Mains,Essay,,3,38,English,ESSAY SECTION - I Write an essay on any one of the following topics in about 700 to 800 words: [100] The Power of Mindset in Shaping Human Destiny. Ethics in Action: Why Morātouage 52/GA/CCM-2026-38 Student's Copy Serial No. Technology as a Double-Edged Sword: Balancing Innovation and Control. 1 1063510 [Full Marks : 300 GA-134 .Tnlications of Rising Tensions 1n the Middle East Geopolitical crisie Maiters Mộre than opinion? (Turn Over),1,71st BPSC MAINS ESSAY PAPER (25-04-2026).pdf,BPSC-SUB-08,Essay & Philosophical Themes,0.98,two_pass_taxonomy_v1,Question originates from official BPSC Essay Paper.,False,ESSAY-001,General & Philosophical Reflections,0.95,Matched BPSC Essay Category.,False,Structural section/header text rather than actual question.
